"Result Set","Go To Row","Ctrl+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoRow"
"Navigate","Previous Edit Location","Ctrl+Alt+←","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"SQL Editor","Execute queries in separate tabs","Ctrl+Alt+Shift+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptNew"
"SQL Editor","Previous query","Alt+↑","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.prev"
"Text Editing","Line End","End","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Connection","Create Object","Alt+Insert","Database navigator context","org.jkiss.dbeaver.core.object.create"
"Result Set","Copy from row below","Ctrl+Alt+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.below"
"Database Navigator","Link with editor","Ctrl+Shift+,","In Windows","org.jkiss.dbeaver.core.navigator.linkeditor"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"Result Set","Delete current row","Alt+Delete","Results viewer context","org.jkiss.dbeaver.core.resultset.row.delete"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows","org.eclipse.ui.window.switchToEditor"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows","org.eclipse.ui.window.maximizePart"
"Entity Properties","Previous Entity Properties tab","Alt+Shift+↑","In Windows","org.jkiss.dbeaver.entity.propsTab.prevPage"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows","org.eclipse.ui.window.showKeyAssist"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousSubTab"
"Connection","Rollback","Ctrl+Alt+Shift+R","In Windows","org.jkiss.dbeaver.core.rollback"
"SQL Editor","Evaluate SQL expression","Ctrl+Alt+'","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.expression"
"Text Editing","Move Lines Up","Ctrl+Shift+↑","SQL Editor Context","org.eclipse.ui.edit.text.moveLineUp"
"SQL Editor","Execute SQL script from the position","Alt+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.scriptFromPosition"
"SQL Editor","Import SQL script","Ctrl+Alt+Shift+O","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.open.file"
"Edit","Word Completion","Ctrl+Shift+Space","SQL Editor Context","org.eclipse.ui.edit.text.hippieCompletion"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows","org.eclipse.ui.window.splitEditor"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text","org.eclipse.ui.edit.findIncrementalReverse"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text","org.eclipse.ui.edit.text.toggleBlockSelectionMode"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows","org.eclipse.ui.edit.undo"
"Text Editing","Select Line Start","Shift+Home","Editing Text","org.eclipse.ui.edit.text.select.lineStart"
"Text Editing","Duplicate Lines","Ctrl+Alt+↑","Editing Text","org.eclipse.ui.edit.text.copyLineUp"
"Window","Next Perspective","Ctrl+F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Text Editing","Move Lines Up","Alt+↑","Editing Text","org.eclipse.ui.edit.text.moveLineUp"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Text Editing","Zoom In","Ctrl+=","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Connection","New SQL script","Ctrl+]","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"Connection","Edit Object","F4","Database navigator context","org.jkiss.dbeaver.core.object.open"
"Result Set","Apply cell changes","Ctrl+Alt+Shift+Enter","Results edit context","org.jkiss.dbeaver.core.resultset.cell.save"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.collapse_all"
"SQL Editor","Open Declaration","F4","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.navigate.object"
"Text Editing","Select Previous Word","Ctrl+Shift+←","Editing Text","org.eclipse.ui.edit.text.select.wordPrevious"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows","org.eclipse.ui.window.showViewMenu"
"Window","Show System Menu","Alt+-","In Windows","org.eclipse.ui.window.showSystemMenu"
"Navigate","Previous Page","Alt+Shift+F7","In Windows","org.eclipse.ui.part.previousPage"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows","org.eclipse.ui.window.splitEditor"
"SQL Editor","Execute SQL in new tab","Ctrl+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statementNew"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.expand_all"
"Text Editing","Scroll Line Down","Ctrl+↓","Editing Text","org.eclipse.ui.edit.text.scroll.lineDown"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"SQL Editor","Toggle Word Wrap","Ctrl+Alt+Shift+W","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.word.wrap"
"Result Set","Next row","Ctrl+Alt+→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.next"
"Result Set","Last row","Ctrl+Alt+Shift+→","Results viewer context","org.jkiss.dbeaver.core.resultset.row.last"
"Text Editing","Select Next Word","Ctrl+Shift+→","Editing Text","org.eclipse.ui.edit.text.select.wordNext"
"Connection","Open SQL console","Ctrl+Alt+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.console"
"Connection","Commit","Ctrl+Alt+Shift+K","In Windows","org.jkiss.dbeaver.core.commit"
"SQL Editor","Show server output","Ctrl+Shift+O","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.show.output"
"Result Set","References","Ctrl+Shift+1","Results viewer context","org.jkiss.dbeaver.core.resultset.referencesMenu"
"File","Save","Ctrl+S","In Windows","org.eclipse.ui.file.save"
"Database Navigator","View Diagram","Ctrl+Shift+Enter","In Windows","org.jkiss.dbeaver.erd.diagram.view"
"Navigate","Previous Tab","Ctrl+PageUp","In Dialogs and Windows","org.eclipse.ui.navigate.previousTab"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnterInverse"
"Result Set","Activate filter/data editor","Ctrl+Alt+Shift+T","Results viewer context","org.jkiss.dbeaver.core.resultset.focus.filter"
"Database Navigator","Edit task","F4","In Windows","org.jkiss.dbeaver.task.edit"
"Utility","Advanced Paste ...","Ctrl+Shift+V","In Windows","org.jkiss.dbeaver.core.edit.paste.special"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows","org.eclipse.search.ui.performTextSearchWorkspace"
"SQL Editor","Select to the matching bracket","Ctrl+Shift+]","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.selectToMatchingBracket"
"Quick Search","Quick Search","Ctrl+Alt+Shift+L","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Views","Show View (Synchronize)","Alt+Shift+Q, Y","In Windows","org.eclipse.ui.views.showView"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows","org.eclipse.ui.edit.redo"
"Text Editing","Copy Lines","Ctrl+Alt+↓","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Result Set","First row","Ctrl+Alt+Shift+←","Results viewer context","org.jkiss.dbeaver.core.resultset.row.first"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows","org.eclipse.ui.views.showView"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows","org.eclipse.ui.edit.text.contentAssist.proposals"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text","org.eclipse.ui.edit.text.deletePreviousWord"
"Result Set","Duplicate row","Ctrl+Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy"
"Database Navigator","Add Bookmark","Ctrl+Alt+Shift+D","In Windows","org.jkiss.dbeaver.core.navigator.bookmark.add"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextSubTab"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text","org.eclipse.ui.edit.text.join.lines"
"Connection","Context tools","Alt+`","In Windows","org.jkiss.dbeaver.ui.tools.menu"
"Result Set","Reset cell changes","Esc","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.reset"
"Window","Previous View","Ctrl+Shift+F7","In Windows","org.eclipse.ui.window.previousView"
"Views","Show View","Alt+Shift+Q, Q","In Windows","org.eclipse.ui.views.showView"
"Database Navigator","New Database &Connection","Ctrl+Shift+N","In Windows","org.jkiss.dbeaver.core.new.connection"
"File","New menu","Alt+Shift+N","In Windows","org.eclipse.ui.file.newQuickMenu"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text","org.eclipse.ui.edit.text.folding.expand"
"Edit","Context Information","Ctrl+Alt+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.contextInformation"
"Edit","Find and Replace","Ctrl+F","In Windows","org.eclipse.ui.edit.findReplace"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text","org.eclipse.ui.edit.text.folding.toggle"
"SQL Editor","Next query","Alt+↓","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.query.next"
"Result Set","Add row","Alt+Insert","Results viewer context","org.jkiss.dbeaver.core.resultset.row.add"
"Navigate","Previous Edit Location","Ctrl+Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Text Editing","Text End","Ctrl+End","Editing Text","org.eclipse.ui.edit.text.goto.textEnd"
"Navigate","Next","Ctrl+.","In Windows","org.eclipse.ui.navigate.next"
"Connection","Open SQL script","F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Edit","Find Previous","Ctrl+Shift+K","In Windows","org.eclipse.ui.edit.findPrevious"
"Help","Show Context Help","F1","In Windows","org.eclipse.ui.help.dynamicHelp"
"Result Set","Filter by value","Ctrl+F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu.distinct"
"Result Set","Zoom out data grid","Alt+9","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomOut"
"Text Editing","Join Lines","Ctrl+Shift+J","SQL Editor Context","org.eclipse.ui.edit.text.join.lines"
"Result Set","Toggle result panels","F7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Connection","Last edited SQL script","Ctrl+Enter","Database navigator context","org.jkiss.dbeaver.core.sql.editor.recent"
"Edit","Copy","Ctrl+C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"File","Print","Ctrl+P","In Windows","org.eclipse.ui.file.print"
"Result Set","Fetch Next Page","Ctrl+Alt+N","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.page"
"Result Set","Toggle results sort order","Ctrl+2","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleOrder"
"Navigate","Next Edit Location","Ctrl+Alt+→","In Windows","org.eclipse.ui.edit.text.gotoNextEditPosition"
"Result Set","Apply changes","Ctrl+S","Results viewer context","org.jkiss.dbeaver.core.resultset.applyChanges"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Result Set","Activate results/panel","Ctrl+Shift+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.activatePreview"
"Navigate","Next Tab","Ctrl+PageDown","In Dialogs and Windows","org.eclipse.ui.navigate.nextTab"
"Edit","Incremental Find","Ctrl+J","Editing Text","org.eclipse.ui.edit.findIncremental"
"Edit","Cut","Ctrl+X","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows","org.eclipse.ui.window.previousEditor"
"Edit","Find Next","Ctrl+K","In Windows","org.eclipse.ui.edit.findNext"
"Navigate","Previous","Ctrl+,","In Windows","org.eclipse.ui.navigate.previous"
"Text Editing","Delete Line","Ctrl+D","Editing Text","org.eclipse.ui.edit.text.delete.line"
"Edit","Delete","Delete","In Windows","org.eclipse.ui.edit.delete"
"Navigate","Expand All","Ctrl+Shift+Numpad_Multiply","In Windows","org.eclipse.ui.navigate.expandAll"
"Quick Search","Quick Search","Ctrl+Alt+Shift+F","In Windows","org.eclipse.text.quicksearch.commands.quicksearchCommand"
"Result Set","Zoom in data grid","Alt+0","Results viewer context","org.jkiss.dbeaver.core.resultset.zoomIn"
"File","New","Ctrl+N","In Windows","org.eclipse.ui.newWizard"
"Result Set","Toggle result panels","Ctrl+7","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.togglePreview"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"Connection","Open Dashboard","Ctrl+Alt+Shift+B","DBeaver Perspective","org.jkiss.dbeaver.ui.dashboard.open"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows","org.eclipse.ui.views.showView"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text","org.eclipse.ui.edit.text.folding.collapse"
"Text Editing","Text Start","Ctrl+Home","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Connection","Open Database Object ...","Ctrl+Shift+D","In Windows","org.jkiss.dbeaver.core.object.goto"
"Result Set","Toggle Grid/Record view","Tab","Results viewer context","org.jkiss.dbeaver.core.resultset.toggleMode"
"View","Toggle hand tool","Tab","In Windows","org.jkiss.dbeaver.erd.toggleHand"
"Window","Quick Switch Editor","Ctrl+E","In Windows","org.eclipse.ui.window.openEditorDropDown"
"Project","Build All","Ctrl+B","In Windows","org.eclipse.ui.project.buildAll"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows","org.eclipse.ui.views.showView"
"Database Navigator","Edit task","Enter","In Windows","org.jkiss.dbeaver.task.edit"
"Oracle","Compile","Ctrl+F9","In Windows","org.jkiss.dbeaver.ext.oracle.code.compile"
"File","Save All","Ctrl+Shift+S","In Windows","org.eclipse.ui.file.saveAll"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows","org.eclipse.ui.window.previousPerspective"
"Navigate","Backward History","Alt+←","In Windows","org.eclipse.ui.navigate.backwardHistory"
"Database Navigator","Set as default","Ctrl+Shift+A","In Windows","org.jkiss.dbeaver.core.navigator.set.default"
"Text Editing","Zoom Out","Ctrl+-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Text Editing","Scroll Line Up","Ctrl+↑","Editing Text","org.eclipse.ui.edit.text.scroll.lineUp"
"ANSI Support Commands","Copy Text Without ANSI Escapes","Ctrl+Insert","In Console View","AnsiConsole.command.copy_without_escapes"
"SQL Editor","Execute SQL script","Alt+X","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.script"
"View","Zoom Out","Ctrl+-","In Windows","org.eclipse.gef.zoom_out"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text","org.eclipse.ui.edit.text.toggleWordWrap"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows","org.eclipse.ui.views.showView"
"SQL Editor","Execute SQL Script natively","Alt+N","SQL Script Editor Context","org.jkiss.dbeaver.core.sql.script.run.scriptNative"
"Edit","Cut","Shift+Delete","In Dialogs and Windows","org.eclipse.ui.edit.cut"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows","org.eclipse.ui.navigate.openResource"
"SQL Editor","Toggle Block Comment","Ctrl+Shift+§","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.multi"
"SQL Editor","Execute SQL query","Ctrl+Enter","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.statement"
"Edit","Content Assist","Ctrl+Space","SQL Editor Context","org.eclipse.ui.edit.text.contentAssist.proposals"
"File","Refresh","F5","In Windows","org.eclipse.ui.file.refresh"
"Utility","Advanced Copy","Ctrl+Shift+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special"
"File","Close","Ctrl+W","In Windows","org.eclipse.ui.file.close"
"File","Open File...","Ctrl+O","In Windows","org.eclipse.ui.edit.text.openLocalFile"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows","org.eclipse.ui.views.showView"
"Result Set","Set to default","Ctrl+Backspace","Results viewer context","org.jkiss.dbeaver.core.resultset.cell.setDefault"
"SQL Editor","Go to matching bracket","Ctrl+Shift+[","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.gotoMatchingBracket"
"Edit","Quick Fix","Ctrl+1","SQL Editor Context","org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals"
"Result Set","Edit cell","Shift+Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit"
"Text Editing","Next Word","Ctrl+→","Editing Text","org.eclipse.ui.edit.text.goto.wordNext"
"Result Set","Go To Column","Ctrl+Shift+G","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.gotoColumn"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Navigate","Forward History","Alt+→","In Windows","org.eclipse.ui.navigate.forwardHistory"
"Result Set","Reject changes","Ctrl+R","Results viewer context","org.jkiss.dbeaver.core.resultset.rejectChanges"
"File","Properties","Alt+Enter","In Windows","org.eclipse.ui.file.properties"
"Utility","Advanced Copy with last settings","Ctrl+Alt+Shift+C","In Windows","org.jkiss.dbeaver.core.edit.copy.special.with.last.settings"
"File","Close","Ctrl+F4","In Windows","org.eclipse.ui.file.close"
"Result Set","Navigate link","Alt+Space","Results viewer context","org.jkiss.dbeaver.core.resultset.navigateLink"
"Window","Toggle Full Screen","Alt+F11","In Dialogs and Windows","org.eclipse.ui.window.fullscreenmode"
"Window","Activate Editor","F12","In Windows","org.eclipse.ui.window.activateEditor"
"Connection","New SQL script","Ctrl+F3","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.create"
"SQL Editor","Switch active panel","Alt+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.switch.panel"
"SQL Editor","Toggle results panel","Ctrl+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.result.panel"
"Text Editing","Line Start","Home","Editing Text","org.eclipse.ui.edit.text.goto.lineStart"
"SQL Editor","Maximize results panel","Ctrl+Shift+T","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.maximize.result.panel"
"File","Close All","Ctrl+Shift+F4","In Windows","org.eclipse.ui.file.closeAll"
"SQL Editor","Explain Execution Plan","Ctrl+Shift+E","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.explain"
"Result Set","Select row(s)","Ctrl+Alt+R","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectRow"
"Result Set","Select column(s)","Ctrl+Alt+C","Results viewer context","org.jkiss.dbeaver.core.resultset.grid.selectColumn"
"Connection","Set active connection","Ctrl+9","In Windows","org.jkiss.dbeaver.ui.tools.select.connection"
"Connection","Select active schema","Ctrl+0","In Windows","org.jkiss.dbeaver.ui.tools.select.schema"
"SQL Editor","Close","Ctrl+Shift+\","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.close.tab"
"Window","Find Actions","Ctrl+3","In Windows","org.eclipse.ui.window.quickAccess"
"Text Editing","Select Line End","Shift+End","Editing Text","org.eclipse.ui.edit.text.select.lineEnd"
"SQL Editor","Rename SQL Script","Ctrl+F2","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.rename"
"Result Set","Switch presentation","Ctrl+`","Results viewer context","org.jkiss.dbeaver.core.resultset.switchPresentation"
"Connection","Open SQL script","Ctrl+[","DBeaver Perspective","org.jkiss.dbeaver.core.sql.editor.open"
"Edit","Select All","Ctrl+A","In Dialogs and Windows","org.eclipse.ui.edit.selectAll"
"SQL Editor","Select all rows","Ctrl+Alt+Shift+A","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.run.all.rows"
"Search","Open Search Dialog","Ctrl+H","In Windows","org.eclipse.search.ui.openSearchDialog"
"Result Set","Previous row","Ctrl+Alt+←","Results viewer context","org.jkiss.dbeaver.core.resultset.row.previous"
"Result Set","Filter menu","F11","Results viewer context","org.jkiss.dbeaver.core.resultset.filterMenu"
"Window","Show Contributing Plug-in","Alt+Shift+F3","In Dialogs and Windows","org.eclipse.ui.window.spy"
"Text Editing","Select Line Down","Ctrl+L","Editing Text","org.eclipse.ui.edit.text.select.lineDown"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text","org.eclipse.quickdiff.toggle"
"SQL Editor","Pin/unpin","Ctrl+Shift+P","SQL Script Editor Context","org.jkiss.dbeaver.ui.editors.sql.toggle.pinned.tab"
"Text Editing","Toggle Overwrite","Insert","Editing Text","org.eclipse.ui.edit.text.toggleOverwrite"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text","org.eclipse.ui.edit.text.showRulerContextMenu"
"Text Editing","Move Lines Down","Ctrl+Shift+↓","SQL Editor Context","org.eclipse.ui.edit.text.moveLineDown"
"Text Editing","Previous Word","Ctrl+←","Editing Text","org.eclipse.ui.edit.text.goto.wordPrevious"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text","org.eclipse.ui.edit.text.folding.restore"
"Window","Next View","Ctrl+F7","In Windows","org.eclipse.ui.window.nextView"
"Result Set","Fetch All Data","Ctrl+Shift+=","Results viewer context","org.jkiss.dbeaver.core.resultset.fetch.all"
"Edit","Paste","Shift+Insert","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Entity Properties","Next Entity Properties tab","Alt+Shift+↓","In Windows","org.jkiss.dbeaver.entity.propsTab.nextPage"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"View","Zoom In","Ctrl+=","In Windows","org.eclipse.gef.zoom_in"
"Window","Next Editor","Ctrl+F6","In Windows","org.eclipse.ui.window.nextEditor"
"Text Editing","Move Lines Down","Alt+↓","Editing Text","org.eclipse.ui.edit.text.moveLineDown"
"Connection","Generate UUID","Ctrl+Alt+Shift+U","In Windows","org.jkiss.dbeaver.core.generate.uuid"
"Navigate","Next Page","Alt+F7","In Windows","org.eclipse.ui.part.nextPage"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text","org.eclipse.ui.edit.text.toggleInsertMode"
"Result Set","Copy from row above","Ctrl+D","Results viewer context","org.jkiss.dbeaver.core.resultset.row.copy.from.above"
"SQL Editor","AI assistant","Ctrl+I","In Windows","org.jkiss.dbeaver.ui.ai.showCompletion"
"File","Close All","Ctrl+Shift+W","In Windows","org.eclipse.ui.file.closeAll"
"Text Editing","Zoom In","Ctrl++","Editing Text","org.eclipse.ui.edit.text.zoomIn"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows","org.eclipse.ui.views.showView"
"SQL Editor","Toggle Line Comment","Ctrl+§","SQL Editor Context","org.jkiss.dbeaver.ui.editors.sql.comment.single"
"SQL Editor","Set connection from navigator","Ctrl+Shift+.","Database navigator context","org.jkiss.dbeaver.ui.editors.sql.sync.connection"
"Navigate","Show In...","Alt+Shift+W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"SQL Editor","Content Format","Alt+Shift+F","In Windows","org.jkiss.dbeaver.ui.editors.text.content.format"
"Edit","Paste","Ctrl+V","In Dialogs and Windows","org.eclipse.ui.edit.paste"
"Result Set","Inline edit","Enter","Results viewer context","org.jkiss.dbeaver.core.resultset.row.edit.inline"
"Edit","Word Completion","Alt+/","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows","org.eclipse.ui.navigate.collapseAll"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
